table,rows,settled_rows,implied_probability,realized_frequency,calibration_error,net_roi,stressed_roi,side,price_bucket,time_to_expiry_bucket
price_bucket,625,625,0.496832,0.4864,-0.010431999999999997,-0.040313160968526066,-0.07674552798615122,,mid,
price_bucket,1109,1109,0.12399368800721372,0.09377817853922453,-0.03021550946798919,-0.3001298797434707,-0.3910258287025924,,cheap,
price_bucket,1330,1330,0.8924368421052632,0.8451127819548873,-0.047324060150375935,-0.06352140945026875,-0.08382585844457434,,expensive,
side,1532,1532,0.49240926892950393,0.46932114882506526,-0.02308812010443867,-0.06585889662215097,-0.10162170401996176,YES,,
side,1532,1532,0.5748035248041775,0.5306788511749347,-0.04412467362924277,-0.09255189364217078,-0.12255992332922137,NO,,
side_price_time_bucket,8,8,0.46875,0.75,0.28125,0.5665796344647519,0.5037593984962405,YES,mid,final_3m
side_price_time_bucket,56,56,0.7354642857142857,0.8571428571428571,0.12167857142857141,0.1498107603123652,0.11976858115989358,YES,expensive,early
side_price_time_bucket,311,311,0.854048231511254,0.9260450160771704,0.0719967845659164,0.0717515322697688,0.04750508294567157,YES,expensive,middle_9m
side_price_time_bucket,146,146,0.5032876712328768,0.547945205479452,0.04465753424657526,0.06752068321323725,0.027485229899820152,NO,mid,early
side_price_time_bucket,156,156,0.5009615384615385,0.5448717948717948,0.043910256410256365,0.06636557521013672,0.026198237353615792,NO,mid,middle_9m
side_price_time_bucket,83,83,0.2554216867469879,0.27710843373493976,0.021686746987951866,0.044030866999545996,-0.029126213592233136,YES,cheap,early
side_price_time_bucket,404,404,0.8683143564356435,0.8737623762376238,0.005448019801980286,-0.005182632123300989,-0.027331167560805582,NO,expensive,middle_9m
side_price_time_bucket,155,155,0.022296774193548384,0.025806451612903226,0.0035096774193548418,-0.20095884938074318,-0.5065383666419937,YES,cheap,final_3m
side_price_time_bucket,393,393,0.1327709923664122,0.12468193384223919,-0.00808905852417302,-0.12669981642873698,-0.23400397067329493,YES,cheap,middle_9m
side_price_time_bucket,125,125,0.019424,0.0,-0.019424,-1.0,-1.0,NO,cheap,final_3m
side_price_time_bucket,93,93,0.7445161290322582,0.7096774193548387,-0.03483870967741942,-0.05942710560068405,-0.08371511870054145,NO,expensive,early
side_price_time_bucket,149,149,0.49100671140939595,0.42953020134228187,-0.061476510067114076,-0.14266577361018085,-0.17557645240242178,YES,mid,early
side_price_time_bucket,160,160,0.49343750000000003,0.425,-0.06843750000000004,-0.1558038485412787,-0.1880597014925373,YES,mid,middle_9m
side_price_time_bucket,304,304,0.149125,0.06907894736842106,-0.08004605263157895,-0.5658824988630257,-0.6143533991993243,NO,cheap,middle_9m
side_price_time_bucket,49,49,0.2635102040816327,0.14285714285714285,-0.12065306122448988,-0.477689897030294,-0.5132804895007649,NO,cheap,early
side_price_time_bucket,249,249,0.9848433734939759,0.8032128514056225,-0.1816305220883534,-0.19262381113856192,-0.2085351568683319,NO,expensive,final_3m
side_price_time_bucket,217,217,0.9902350230414747,0.7788018433179723,-0.2114331797235024,-0.2213811500522918,-0.23664466938583778,YES,expensive,final_3m
side_price_time_bucket,6,6,0.505,0.16666666666666666,-0.3383333333333334,-0.6763754045307443,-0.6884735202492211,NO,mid,final_3m
time_to_expiry_bucket,1728,1728,0.5040630787037037,0.5,-0.004063078703703704,-0.027356718049399924,-0.06378100277289864,,,middle_9m
time_to_expiry_bucket,576,576,0.5055173611111111,0.5,-0.005517361111111119,-0.030100559712802014,-0.06632345408451074,,,early
time_to_expiry_bucket,760,760,0.6220671052631579,0.5,-0.1220671052631579,-0.2089447531179026,-0.23320775428747853,,,final_3m
